id,status,duration,start_date,start_station,end_date,end_station,bike_nr,subscription_type,zip_code,birth_date,gender
325609,Closed,411,2012-06-19 00:03:00,24,2012-06-19 00:10:00,40,B00471,Casual,,,
325672,Closed,257,2012-06-19 06:32:00,34,2012-06-19 06:37:00,14,B00019,Registered,1757,1955,Male
325674,Closed,464,2012-06-19 06:34:00,58,2012-06-19 06:42:00,52,B00086,Registered,2116,1977,Female
325675,Closed,404,2012-06-19 06:34:00,43,2012-06-19 06:41:00,42,B00121,Registered,2025,1971,Male
325676,Closed,284,2012-06-19 06:35:00,16,2012-06-19 06:40:00,39,B00084,Registered,1583,1955,Male
325677,Closed,241,2012-06-19 06:37:00,21,2012-06-19 06:41:00,50,B00302,Registered,2115,1988,Male
325678,Closed,982,2012-06-19 06:38:00,43,2012-06-19 06:54:00,36,B00397,Registered,2110,1988,Female
325680,Closed,951,2012-06-19 06:39:00,13,2012-06-19 06:55:00,47,B00626,Registered,2118,1986,Male
325681,Closed,468,2012-06-19 06:39:00,49,2012-06-19 06:47:00,16,B00570,Registered,3037,1953,Male
325682,Closed,720,2012-06-19 06:40:00,62,2012-06-19 06:52:00,13,B00165,Registered,2446,1985,Female
325684,Closed,257,2012-06-19 06:41:00,36,2012-06-19 06:45:00,25,B00236,Registered,2118,1982,Male
325685,Closed,409,2012-06-19 06:41:00,60,2012-06-19 06:48:00,36,B00593,Registered,2114,1987,Male
325686,Closed,368,2012-06-19 06:41:00,57,2012-06-19 06:48:00,49,B00271,Registered,2118,1972,Male
325687,Closed,260,2012-06-19 06:42:00,25,2012-06-19 06:47:00,50,B00092,Registered,2116,1982,Male
325688,Closed,826,2012-06-19 06:42:00,13,2012-06-19 06:56:00,30,B00322,Registered,2339,1971,Male
325689,Closed,918,2012-06-19 06:43:00,23,2012-06-19 06:59:00,33,B00029,Registered,1904,1954,Male
325690,Closed,1350,2012-06-19 06:43:00,6,2012-06-19 07:06:00,11,B00192,Registered,2114,1981,Female
325691,Closed,235,2012-06-19 06:44:00,21,2012-06-19 06:48:00,53,B00052,Registered,2118,1964,Male
325694,Closed,847,2012-06-19 06:45:00,52,2012-06-19 06:59:00,23,B00349,Registered,2116,1955,Male
325695,Closed,903,2012-06-19 06:46:00,61,2012-06-19 07:01:00,43,B00489,Registered,2116,1946,Male
325696,Closed,218,2012-06-19 06:46:00,47,2012-06-19 06:50:00,48,B00521,Registered,2113,1981,Male
325697,Closed,491,2012-06-19 06:48:00,4,2012-06-19 06:56:00,59,B00434,Casual,,,
325698,Closed,321,2012-06-19 06:46:00,58,2012-06-19 06:52:00,49,B00080,Registered,2108,1961,Female
325699,Closed,203,2012-06-19 06:48:00,25,2012-06-19 06:51:00,16,B00229,Registered,2118,1984,Female
325700,Closed,437,2012-06-19 06:48:00,4,2012-06-19 06:55:00,6,B00281,Registered,2118,1970,Male
325701,Closed,648,2012-06-19 06:51:00,38,2012-06-19 07:01:00,7,B00005,Registered,1742,1966,Male
325702,Closed,763,2012-06-19 06:51:00,16,2012-06-19 07:03:00,60,B00583,Registered,2110,1964,Male
325703,Closed,442,2012-06-19 06:52:00,22,2012-06-19 06:59:00,50,B00414,Registered,2043,1970,Male
